transaction_id,customer_id,ts,amount,type,merchant,channel,atm_owner,pos_scope,transfer_scope
TXN_00001,CUST_001,2026-01-04 04:00:00,-32350.65,income,,,,,
TXN_00002,CUST_001,2026-01-25 18:27:00,234.97,pos_purchase,retail_cashout,pos,,local,
TXN_00003,CUST_001,2026-01-18 15:05:00,214.49,eft_transfer_internal,transfer,online,,,to_nedbank_account
TXN_00004,CUST_001,2026-01-27 21:27:00,164.63,eft_transfer_external,transfer,online,,,to_other_bank
TXN_00005,CUST_001,2026-01-18 08:35:00,338.58,third_party_payment,transfer,online,,,
TXN_00006,CUST_001,2026-01-26 20:21:00,590.54,eft_transfer_internal,transfer,online,,,to_nedbank_account
TXN_00007,CUST_001,2026-01-02 23:56:00,376.07,pos_purchase,ecommerce,pos,,local,
TXN_00008,CUST_001,2026-01-29 20:19:00,621.47,eft_transfer_external,transfer,online,,,to_other_bank
TXN_00009,CUST_001,2026-01-26 05:34:00,199.18,eft_transfer_internal,transfer,online,,,to_nedbank_account
TXN_00010,CUST_001,2026-01-31 00:38:00,1439.55,atm_withdrawal,,atm,other_bank,,
TXN_00011,CUST_001,2026-01-31 11:56:00,621.4,atm_withdrawal,,atm,nedbank,,
TXN_00012,CUST_001,2026-01-09 01:15:00,1480.92,atm_withdrawal,,atm,other_bank,,
TXN_00013,CUST_001,2026-01-04 23:31:00,1341.41,atm_withdrawal,,atm,other_bank,,
TXN_00014,CUST_001,2026-01-19 04:08:00,1260.83,atm_withdrawal,,atm,other_bank,,
TXN_00015,CUST_001,2026-01-07 08:33:00,1057.68,atm_withdrawal,,atm,other_bank,,
TXN_00016,CUST_001,2026-01-08 17:48:00,1334.16,atm_withdrawal,,atm,nedbank,,
TXN_00017,CUST_001,2026-01-11 12:42:00,1148.91,atm_withdrawal,,atm,nedbank,,
TXN_00018,CUST_001,2026-01-18 14:07:00,1044.84,atm_withdrawal,,atm,nedbank,,
TXN_00019,CUST_001,2026-01-02 18:35:00,522.28,atm_withdrawal,,atm,nedbank,,
TXN_00020,CUST_001,2026-01-04 22:40:00,499.15,atm_withdrawal,,atm,nedbank,,
