customer_id,age,residency,income_gross_monthly,customer_segment,account_category,account_type_id,annual_turnover
CUST_001,35,namibian_resident,32350.65,individual,everyday,silver_payu,
CUST_002,42,namibian_resident,6243.54,individual,everyday,silver_payu,
CUST_003,58,namibian_resident,13678.97,business,everyday,silver_payu,515604.8
CUST_004,35,namibian_resident,15322.16,individual,everyday,silver_payu,
CUST_005,53,namibian_resident,30890.45,sme,everyday,silver_payu,565683.62
CUST_006,38,namibian_resident,28854.67,sme,everyday,silver_payu,2183082.51
CUST_007,29,namibian_resident,4735.76,individual,everyday,silver_payu,
CUST_008,45,namibian_resident,21413.49,sme,everyday,silver_payu,7002812.67
CUST_009,42,namibian_resident,24091.33,individual,everyday,silver_payu,
CUST_010,55,namibian_resident,10823.92,sme,everyday,silver_payu,4820697.39
CUST_011,56,namibian_resident,17435.9,sme,everyday,silver_payu,706687.35
CUST_012,44,namibian_resident,6137.74,individual,everyday,silver_payu,
CUST_013,28,namibian_resident,27953.1,sme,everyday,silver_payu,
CUST_014,26,namibian_resident,28768.18,sme,everyday,silver_payu,6826479.41
CUST_015,38,namibian_resident,9592.37,sme,everyday,silver_payu,3100722.79
CUST_016,24,namibian_resident,33239.56,individual,everyday,silver_payu,
CUST_017,28,namibian_resident,28465.24,individual,everyday,silver_payu,
CUST_018,49,namibian_resident,23821.37,business,everyday,silver_payu,3868220.63
CUST_019,48,namibian_resident,7762.33,sme,everyday,silver_payu,
CUST_020,48,namibian_resident,32121.65,individual,everyday,silver_payu,
